Name,Section,SubSection,SubName,key1,key2,key3,key4,key5,key6,key7,key8,key9
Forces,S1,b,Movement,journey,velocity-time,distance,traveled,friction,velocity,deceleration,speed,slow
Forces,S1,c,Forces,hooke,momentum,terminal velocity,acceleration,resultant force,moment,force,weight,spring
Forces,S1,d,Astronomy,planet,galaxy,mars,satellite,universe,moon,earth,comet,asteroid
Electricity,S2,b,Mains Electricity,electrical,appliance,kettle,socket,fuse,plug,earth,cable,shock
Electricity,S2,c,Energy and Potential diff,circuit,resistor,thermistor,voltage,current,power,battery,resistance,cell
Electricity,S2,d,Electric Charge,insulators,electrostatic,friction,printers,fueling,charge,electrons,spark,shock
Waves,S3,b,Wave Properties,amplitude,wavelength,transverse,longitudinal,waves,frequency,period,wave,oscilloscope
Waves,S3,c,E.M. Spectrum,visible,violet,radio,gamma,microwaves,cancer,electromagnetic,X-ray,microwave
Waves,S3,d,Light and Sound,incidence,refraction,index,ray,reflection,critical,angle,refractive,mirror
Energy,S4,b,Energy transfer,energy,temperature,kinetic,conduction,efficiency,potential,speed,power,changes
Energy,S4,c,Work and power,force,work,power,gravitational,transferred,work done,distance,push,extract
Energy,S4,d,E. Resources and Electricity generation,wind,solar,fossil,generation,cells,hydro,energy,tidal,renewable
States of Matter,S5,b,Density and pressure,density,mass,volume,pressure,area,force,float,heels,surface
States of Matter,S5,c,Change of state,melts,solid,liquid,molecules,particles,evaporates,motion,freeze,condensation
States of Matter,S5,d,Ideal gas,kelvin,zero,container,brownian,pressure,temperature,constant,volume,gas
Magnetism,S6,b,Magnetism,lines,attract,magnet,hard,soft,uniform,field,magnetic,north
Magnetism,S6,c,Electromagnetism,magnet,field,wire,solenoid,motor,left hand,cable,current,microphone
Magnetism,S6,d,Electromagnetic Induction,force,wire,loudspeaker,hand,motor,coil,transformer,front,electricity
Particles,S7,b,Radioactivity,isotope,alpha,gamma,beta,nucleus,half,becquerel,decay,ionising
Particles,S7,c,Particles,gold,reactor,alpha,uranium,neutrons,rods,moderator,bounce,chain
